sp	ssp	fi	en
Oceanodroma castro	Oceanodroma castro 	madeirankeiju	Band-rumped Storm Petrel
Oceanodroma leucorhoa	Oceanodroma leucorhoa 	myrskykeiju	Leach’s Storm Petrel
Oenanthe cypriaca	Oenanthe cypriaca 	kyproksentasku	Cyprus Wheatear
Oenanthe hispanica	Oenanthe hispanica 	rusotasku	Black-eared Wheatear
Oenanthe isabellina	Oenanthe isabellina 	arotasku	Isabelline Wheatear
Oenanthe leucura	Oenanthe leucura 	mustatasku	Black Wheatear
Oenanthe oenanthe	Oenanthe oenanthe 	kivitasku	Northern Wheatear
Oenanthe pleschanka	Oenanthe pleschanka 	nunnatasku	Pied Wheatear
Oriolus oriolus	Oriolus oriolus 	kuhankeittäjä	Eurasian Golden Oriole
Otis tarda	Otis tarda 	isotrappi	Great Bustard
Otus scops	Otus scops 	kyläpöllönen	Eurasian Scops Owl
Oxyura jamaicensis	Oxyura jamaicensis 	kuparisorsa	Ruddy Duck
Oxyura leucocephala	Oxyura leucocephala 	valkopääsorsa	White-headed Duck
Pandion haliaetus	Pandion haliaetus 	sääksi (kalasääski)	Osprey
Panurus biarmicus	Panurus biarmicus 	viiksitimali	Bearded Tit
Paradoxornis webbianus	Paradoxornis webbianus 	ruusutimali	Vinous-throated Parrotbill
Parus ater	Parus ater all others 	kuusitiainen	Coal Tit
Parus ater	Parus ater cypriotes 	kuusitiainen	Coal Tit
Parus caeruleus	Parus caeruleus 	sinitiainen	Blue Tit
Parus cinctus	Parus cinctus 	lapintiainen	Siberian Tit
Parus cristatus	Parus cristatus 	töyhtötiainen	Crested Tit
Parus lugubris	Parus lugubris 	balkanintiainen	Sombre Tit
Parus major	Parus major 	talitiainen	Great Tit
Parus montanus	Parus montanus 	hömötiainen	Willow Tit
Parus palustris	Parus palustris 	viitatiainen	Marsh Tit
Passer domesticus	Passer domesticus 	varpunen	House Sparrow
Passer hispaniolensis	Passer hispaniolensis all others 	pensasvarpunen	Spanish Sparrow
Passer hispaniolensis	Passer hispaniolensis italiae 	pensasvarpunen	Spanish Sparrow
Passer montanus	Passer montanus 	pikkuvarpunen	Eurasian Tree Sparrow
Pavo cristatus	Pavo cristatus 	riikinkukko	Indian Peafowl
Pelecanus crispus	Pelecanus crispus 	kiharapelikaani	Dalmatian Pelican
Pelecanus onocrotalus	Pelecanus onocrotalus 	pelikaani	Great White Pelican
Perdix perdix	Perdix perdix all others 	peltopyy	Grey Partridge
Perdix perdix	Perdix perdix hispaniensis 	peltopyy	Grey Partridge
Perdix perdix	Perdix perdix italica 	peltopyy	Grey Partridge
Perisoreus infaustus	Perisoreus infaustus 	kuukkeli	Siberian Jay
Pernis apivorus	Pernis apivorus 	mehiläishaukka	European Honey Buzzard
Petronia petronia	Petronia petronia 	kalliovarpunen	Rock Sparrow
Phalacrocorax aristotelis	Phalacrocorax aristotelis aristotelis 	karimetso	European Shag
Phalacrocorax aristotelis	Phalacrocorax aristotelis desmarestii 	karimetso	European Shag
Phalacrocorax carbo	Phalacrocorax carbo carbo 	merimetso	Great Cormorant
Phalacrocorax carbo	Phalacrocorax carbo sinensis 	merimetso	Great Cormorant
Phalacrocorax pygmeus	Phalacrocorax pygmeus 	pikkumerimetso	Pygmy Cormorant
Phalaropus lobatus	Phalaropus lobatus 	vesipääsky	Red-necked Phalarope
Phasianus colchicus	Phasianus colchicus 	fasaani	Common Pheasant
Philomachus pugnax	Philomachus pugnax 	suokukko	Ruff
Phoenicopterus roseus	Phoenicopterus roseus 	flamingo	Greater Flamingo
Phoenicurus ochruros	Phoenicurus ochruros 	mustaleppälintu	Black Redstart
Phoenicurus phoenicurus	Phoenicurus phoenicurus 	leppälintu	Common Redstart
Phylloscopus bonelli	Phylloscopus bonelli 	vuoriuunilintu	Western Bonelli’s Warbler
Phylloscopus borealis	Phylloscopus borealis 	lapinuunilintu	Arctic Warbler
Phylloscopus collybita	Phylloscopus collybita 	tiltaltti	Common Chiffchaff
Phylloscopus ibericus	Phylloscopus ibericus 	iberiantiltaltti	Iberian Chiffchaff
Phylloscopus sibilatrix	Phylloscopus sibilatrix 	sirittäjä	Wood Warbler
Phylloscopus trochiloides	Phylloscopus trochiloides 	idänuunilintu	Greenish Warbler
Phylloscopus trochilus	Phylloscopus trochilus 	pajulintu	Willow Warbler
Pica pica	Pica pica 	harakka	Common Magpie
